Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
4/16/2021,0.261538462,1.753846154,3.738461538,2.476923077,14.58461538,0.046153846,0.815384615,2.8,0.923076923,2.461538462,2.430769231,2.2,65
4/17/2021,0.284615385,1.692307692,3.5,2.176923077,14.13076923,0.007692308,0.753846154,2.415384615,0.884615385,2.476923077,2.2,2.261538462,130
4/18/2021,0.5,1.46969697,3.893939394,1.545454545,14.10606061,0.106060606,0.590909091,2.242424242,0.772727273,2.439393939,1.606060606,2.378787879,66
4/19/2021,0.346456693,1.708661417,3.826771654,2.173228346,14.69291339,0.039370079,0.763779528,2.496062992,0.850393701,2.456692913,2.188976378,2.330708661,127
4/20/2021,0.47826087,1.434782609,3.956521739,1.652173913,13.91304348,0.130434783,0.652173913,2.347826087,0.782608696,2.565217391,1.869565217,1.956521739,23
4/21/2021,0.21875,1.916666667,3.291666667,2.447916667,14.52083333,0,0.802083333,2.458333333,0.989583333,2.520833333,2.625,2.21875,96
4/22/2021,0.247706422,1.889908257,3.642201835,2.275229358,14.83486239,0,0.770642202,2.568807339,1.009174312,2.550458716,2.321100917,2.339449541,109
4/23/2021,0.285714286,2.095238095,3.273809524,2.273809524,15.02380952,0,0.797619048,2.452380952,0.976190476,2.5,2.392857143,2.19047619,84
4/24/2021,0.282051282,2.051282051,4.384615385,2.282051282,14.41025641,0,0.794871795,2.41025641,0.974358974,2.358974359,2.461538462,2.512820513,39
4/25/2021,0.216216216,2.054054054,3.72972973,2.567567568,14.86486486,0,0.837837838,2.621621622,0.918918919,2.324324324,2.513513514,2.378378378,37
4/26/2021,0.319444444,1.881944444,3.493055556,2.145833333,14.71527778,0.027777778,0.743055556,2.506944444,0.895833333,2.493055556,2.270833333,2.222222222,144
4/27/2021,0.190082645,2.074380165,3.479338843,2.462809917,14.97520661,0,0.818181818,2.52892562,0.966942149,2.504132231,2.628099174,2.438016529,121
4/28/2021,0.234042553,2.106382979,3.446808511,2.659574468,14.78723404,0,0.893617021,2.553191489,0.936170213,2.595744681,2.638297872,2.425531915,47
4/29/2021,0.130434783,2.333333333,3.057971014,2.768115942,15.13043478,0.014492754,0.927536232,2.507246377,1.072463768,2.782608696,2.942028986,2.246376812,69
4/30/2021,0.217391304,2.108695652,3.913043478,2.52173913,14.63043478,0,0.891304348,2.565217391,1.043478261,2.47826087,2.543478261,2.565217391,46
5/1/2021,0.214285714,2.357142857,3.642857143,2.428571429,15.28571429,0,0.857142857,2.214285714,1.071428571,2.571428571,2.714285714,2.357142857,14
