Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-12-28,MW550609.1,USA: AZ,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-12-28,MZ028882.1,USA: AZ,0.0,0.0,2.0,0.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0
2020-12-28,MZ028893.1,USA: AZ,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-12-28,MW485341.1,USA: Arizona,0.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2020-12-28,MZ028888.1,USA: AZ,0.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-12-28,MZ028887.1,USA: AZ,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-01-01,MW634735.1,USA: Arizona,0.0,2.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2021-01-01,MW634740.1,USA: Arizona,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-01,MW634742.1,USA: Arizona,0.0,2.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2021-01-02,MW519860.1,USA: Arizona,0.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
2021-01-02,MW518195.1,USA: Arizona,1.0,0.0,2.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-03,MW494371.1,USA: Arizona,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
2021-01-03,MW523882.1,USA: Arizona,0.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
2021-01-03,MW518128.1,USA: Arizona,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
2021-01-03,MW494369.1,USA: Arizona,1.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021-01-03,MW494373.1,USA: Arizona,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-01-03,MW494380.1,USA: Arizona,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-03,MW494377.1,USA: Arizona,0.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-04,MW519751.1,USA: Arizona,0.0,1.0,3.0,0.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-01-04,MW519755.1,USA: Arizona,0.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
2021-01-04,MW519756.1,USA: Arizona,1.0,1.0,2.0,1.0,10.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-01-04,MZ028855.1,USA: AZ,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0
2021-01-05,MW523832.1,USA: Arizona,1.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2021-01-05,MW523862.1,USA: Arizona,0.0,0.0,4.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-06,MW519643.1,USA: Arizona,0.0,0.0,3.0,1.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-01-06,MZ028877.1,USA: AZ,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2021-01-06,MW519640.1,USA: Arizona,0.0,0.0,2.0,1.0,12.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-01-06,MZ028878.1,USA: AZ,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2021-01-07,MZ028850.1,USA: AZ,0.0,2.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-01-07,MZ028851.1,USA: AZ,0.0,1.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
2021-01-07,MW596132.1,USA: Arizona,0.0,0.0,2.0,1.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-07,MW596116.1,USA: Arizona,0.0,0.0,3.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-07,MZ028856.1,USA: AZ,0.0,0.0,6.0,0.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
2021-01-07,MZ028859.1,USA: AZ,0.0,1.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
2021-01-07,MZ028860.1,USA: AZ,0.0,0.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2021-01-07,MZ028863.1,USA: AZ,0.0,1.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2021-01-07,MZ028879.1,USA: AZ,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2021-01-08,MW596168.1,USA: Arizona,0.0,0.0,5.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-01-08,MW596078.1,USA: Arizona,1.0,0.0,3.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2021-01-08,MW638954.1,USA: Arizona,0.0,1.0,3.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0
2021-01-09,MW638159.1,USA: Arizona,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-09,MZ028889.1,USA: AZ,0.0,1.0,4.0,0.0,9.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0
2021-01-09,MW638923.1,USA: Arizona,0.0,1.0,4.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-01-09,MZ028886.1,USA: AZ,1.0,0.0,4.0,1.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
2021-01-09,MZ028852.1,USA: AZ,1.0,0.0,4.0,1.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2021-01-09,MW525113.1,USA: Arizona,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2021-01-09,MZ028853.1,USA: AZ,1.0,0.0,4.0,1.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2021-01-09,MW596191.1,USA: Arizona,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
2021-01-10,MZ028891.1,USA: AZ,0.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0
