Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-09,MZ086647.1,USA: Arizona,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-04-09,MZ086650.1,USA: Arizona,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-04-09,MZ086653.1,USA: Arizona,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-04-09,MZ059092.1,USA: Arizona,0.0,0.0,3.0,0.0,15.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0
2021-04-09,MZ059301.1,USA: Arizona,0.0,3.0,2.0,3.0,18.0,0.0,1.0,5.0,1.0,2.0,4.0,2.0
2021-04-09,MZ059492.1,USA: Arizona,0.0,2.0,2.0,4.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0
2021-04-09,MZ055092.1,USA: Arizona,0.0,3.0,2.0,3.0,17.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-10,MZ090123.1,USA: Arizona,0.0,0.0,4.0,1.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0
2021-04-10,MZ090137.1,USA: Arizona,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-04-10,MZ090139.1,USA: Arizona,1.0,0.0,4.0,1.0,13.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0
2021-04-10,MZ090144.1,USA: Arizona,0.0,4.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0
2021-04-10,MZ090157.1,USA: Arizona,0.0,4.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-04-10,MZ090168.1,USA: Arizona,0.0,3.0,2.0,4.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-10,MZ090171.1,USA: Arizona,0.0,2.0,6.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-04-10,MZ090191.1,USA: Arizona,0.0,4.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-04-10,MZ090209.1,USA: Arizona,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-10,MZ090211.1,USA: Arizona,0.0,3.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0
